name,obsid,ra,dec,start_time,processing_date,xrt_exposure,uvot_exposure,bat_exposure,archive_date,__row
SGR1935+2154,00033349046,293.71424751,21.8272861,58968.5433564815,58978.0,1499.607,0.0,1500.0,58979,295124
SGR1935+2154,00033349050,293.7370748,21.85854144,58970.0816666667,58980.0,2064.981,2061.324,2085.0,58981,295184
SGR1935+2154,00033349048,293.76216382,21.86021655,58969.2254166667,58979.0,1858.062,1854.887,1869.0,58980,295189
SGR1935+2154,00033349062,293.76314979,21.86152579,58979.1823611111,58989.0,3172.011,3169.669,3192.0,58990,295191
SGR1935+2154,00033349059,293.77156268,21.87024298,58974.8573611111,58984.0,1364.439,1360.337,1368.0,58985,295213
SGR1935+2154,00033349053,293.75389374,21.87049283,58971.4899884259,58981.0,664.199,654.737,669.0,58982,295215
SGR1935+2154,00033349055,293.73564385,21.87400497,58972.5358101852,58982.0,1679.638,1675.68,1683.0,58983,295227
SGR1935+2154,00033349066,293.73649265,21.87930608,58984.0170601852,58994.0,3488.134,3473.968,3503.0,58995,294824
SGR1935+2154,00033349061,293.74068397,21.87985057,58976.3927546296,58987.0,3708.839,3705.35,3728.0,58987,294827
SGR1935+2154,00033349057,293.7518011,21.88210771,58973.5247222222,58983.0,1614.618,1613.322,1621.0,58984,294834
SGR1935+2154,00033349052,293.73845238,21.88226185,58971.6865162037,58981.0,1254.87,1252.567,1274.0,58982,294836
SGR1935+2154,00033349045,293.72353148,21.88485292,58967.7465509259,58977.0,2974.06,2974.199,2413.0,58978,294844
SGR1935+2154,00033349054,293.74705236,21.88537524,58972.9288888889,58982.0,1547.002,1546.087,1553.0,58983,294846
"Burst (293.711, 21.887)",00968211001,293.71148163,21.88673767,58966.8178935185,58976.0,1958.505,1945.732,2001.0,58977,294852
SGR1935+2154,00033349065,293.7407264,21.88817537,58982.3747106481,58992.0,1294.146,1286.626,1301.0,58993,294863
SGR1935+2154,00033349060,293.76462264,21.88888011,58975.2719444444,58985.0,1290.342,1273.706,1303.0,58986,294870
SGR1935+2154,00033349063,293.75634137,21.89432231,58979.2483333333,58989.0,3173.689,3163.524,3186.0,58990,295317
SGR1935+2154,00033349047,293.7198428,21.89640757,58968.7426967593,58978.0,1995.934,1993.715,2002.0,58979,295326
SGR1935+2154,00033349058,293.72407868,21.89679367,58974.1330324074,58984.0,1945.198,1943.824,1958.0,58985,295328
SGR1935+2154,00033349056,293.74684593,21.89752079,58973.0712384259,58983.0,3459.477,3445.304,3480.0,58984,295332
SGR1935+2154,00033349064,293.70780793,21.89809033,58982.0955555556,58992.0,1914.075,1867.399,1923.0,58993,295337
SGR1935+2154,00033349049,293.73328587,21.89985316,58969.2948611111,58979.0,1478.144,1464.808,1493.0,58980,295346
SGR1935+2154,00033349044,293.73087596,21.90189425,58962.6327893519,58972.0,1994.904,1994.443,2001.0,58973,295362
SGR1935+2154,00033349043,293.72885271,21.90630296,58949.8425925926,58959.0,2465.98,2479.417,2502.0,58960,295380
SGR1935+2154,00033349067,293.74952231,21.90836406,58997.5034837963,59007.0,1981.022,1979.361,1994.0,59008,295386
SGR1935+2154,00033349051,293.74669197,21.9180069,58970.5365277778,58980.0,1364.872,1361.661,1369.0,58981,295420
